TOA5,38694,Table_MTO_MZAAR,
TIMESTAMP,SW_OUT_Avg,WS,WD
TS,,m/s,Degrees
,Avg,WVc,WVc
2019-03-09 13:30:00,361.4496,1.479,171.4
2019-03-09 14:00:00,302.8053,1.281,141.9
2019-03-09 14:30:00,227.3008,2.649,187.2
2019-03-09 15:00:00,155.7372,3.28,195.6
2019-03-09 15:30:00,80.78051,3.9,198.1
2019-03-09 16:00:00,11.98865,3.555,210.2
2019-03-09 16:30:00,1.492876,3.032,225.5
2019-03-09 17:00:00,0.9845893,4.118,231.4
2019-03-09 17:30:00,0.827671,4.818,233.4
2019-03-09 18:00:00,0.7130152,4.981,237.9
2019-03-09 18:30:00,0.7435682,5.501,238.1
2019-03-09 19:00:00,0.6010407,5.703,246.1
2019-03-09 19:30:00,0.4089369,5.807,243.9
2019-03-09 20:00:00,0.5277699,5.303,244.4
2019-03-09 20:30:00,0.6427121,4.384,236.9
2019-03-09 21:00:00,0.8723182,3.55,232
2019-03-09 21:30:00,0.7332358,4.312,248.8
2019-03-09 22:00:00,0.9808468,3.65,265
2019-03-09 22:30:00,0.8595884,3.26,275.6
2019-03-09 23:00:00,0.8167848,3.292,294.9
2019-03-09 23:30:00,1.391678,2.027,315.7
2019-03-10 00:00:00,1.443694,2.55,347.1
2019-03-10 00:30:00,1.268337,2.516,342.5
2019-03-10 01:00:00,1.099986,2.718,351.5
2019-03-10 01:30:00,1.207525,3.071,347.1
2019-03-10 02:00:00,1.218697,2.514,345.3
2019-03-10 02:30:00,1.239276,2.566,341.2
2019-03-10 03:00:00,1.11685,2.327,335.1
2019-03-10 03:30:00,1.280127,1.952,326.2
2019-03-10 04:00:00,3.395766,2.419,343.1
2019-03-10 04:30:00,23.48483,3.19,331.2
2019-03-10 05:00:00,69.65296,3.673,339.6
2019-03-10 05:30:00,133.8902,3.303,341.9
2019-03-10 06:00:00,196.7835,3.334,337.3
2019-03-10 06:30:00,246.1068,2.938,330.9
2019-03-10 07:00:00,321.3023,3.324,332.5
2019-03-10 07:30:00,378.459,3.518,321.1
2019-03-10 08:00:00,429.0302,3.4,311.7
2019-03-10 08:30:00,472.1966,4.125,314.4
2019-03-10 09:00:00,516.1326,4.863,306.1
2019-03-10 09:30:00,531.7036,4.551,305.3
2019-03-10 10:00:00,553.421,4.856,301.2
2019-03-10 10:30:00,495.2982,4.226,309.8
2019-03-10 11:00:00,501.8672,3.913,308.5
2019-03-10 11:30:00,469.7969,3.879,302.6
2019-03-10 12:00:00,525.6773,4.499,298.6
2019-03-10 12:30:00,483.4886,4.279,302.8
2019-03-10 13:00:00,437.3816,4.194,297.8
2019-03-10 13:30:00,376.9214,5.014,302.8
2019-03-10 14:00:00,305.3773,4.582,306.7
2019-03-10 14:30:00,228.6142,4.806,295.3
2019-03-10 15:00:00,147.5551,4.489,287.6
2019-03-10 15:30:00,64.72731,4.183,285.9
2019-03-10 16:00:00,9.607248,4.184,288.5
2019-03-10 16:30:00,1.408418,4.763,298.5
2019-03-10 17:00:00,1.401521,3.865,305.8
2019-03-10 17:30:00,1.804763,1.751,295.6
2019-03-10 18:00:00,1.998776,1.473,308.2
2019-03-10 18:30:00,2.389363,0.723,316.7
2019-03-10 19:00:00,2.286551,1.107,344
2019-03-10 19:30:00,1.565812,1.916,4.467
2019-03-10 20:00:00,1.669406,0.567,91.3
2019-03-10 20:30:00,2.134559,2.537,30.84
2019-03-10 21:00:00,1.21928,1.449,23.69
2019-03-10 21:30:00,2.092342,0.514,33.13
2019-03-10 22:00:00,1.91694,0.765,173.9
2019-03-10 22:30:00,2.121698,3.024,94
2019-03-10 23:00:00,1.104551,3.959,94.4
2019-03-10 23:30:00,0.9499989,4.198,98.6
2019-03-11 00:00:00,1.116373,3.714,119.8
2019-03-11 00:30:00,1.353884,3.611,121.4
2019-03-11 01:00:00,1.30303,3.272,111.3
2019-03-11 01:30:00,1.194361,3.027,101.1
2019-03-11 02:00:00,1.305294,3.356,118.2
2019-03-11 02:30:00,1.006133,3.56,144.6
2019-03-11 03:00:00,1.088079,3.766,153.1
2019-03-11 03:30:00,0.8466869,4.177,191.2
2019-03-11 04:00:00,3.642712,2.823,179.3
2019-03-11 04:30:00,23.71482,3.224,189.9
2019-03-11 05:00:00,73.88143,3.513,191.3
2019-03-11 05:30:00,138.6882,3.91,189.9
2019-03-11 06:00:00,202.533,1.619,178
2019-03-11 06:30:00,267.9428,2.197,185.4
2019-03-11 07:00:00,328.5128,1.826,113.3
2019-03-11 07:30:00,375.5325,0.736,97.8
2019-03-11 08:00:00,426.9234,1.662,180.9
2019-03-11 08:30:00,471.8279,2.193,163.2
2019-03-11 09:00:00,499.6764,1.548,140
2019-03-11 09:30:00,519.9512,1.938,185.8
2019-03-11 10:00:00,526.7862,0.416,200.6
2019-03-11 10:30:00,518.8688,0.176,123.5
2019-03-11 11:00:00,517.3563,0.577,210.1
2019-03-11 11:30:00,509.9778,1.116,318
2019-03-11 12:00:00,486.1006,0.765,350.9
2019-03-11 12:30:00,443.2711,0.201,110.5
2019-03-11 13:00:00,406.069,1.269,155.6
2019-03-11 13:30:00,352.847,0.437,177.9
2019-03-11 14:00:00,287.3943,0.831,158.1
2019-03-11 14:30:00,222.1554,2.372,190.6
2019-03-11 15:00:00,155.011,1.365,196.9
2019-03-11 15:30:00,84.00933,0.62,196.3
2019-03-11 16:00:00,12.28466,1.045,191.2
2019-03-11 16:30:00,0.984633,2.546,193.6
2019-03-11 17:00:00,1.447366,2.356,194.2
2019-03-11 17:30:00,1.127221,3.513,192.2
2019-03-11 18:00:00,1.522281,3.268,206.8
2019-03-11 18:30:00,1.384536,2.46,239.9
2019-03-11 19:00:00,1.319293,3.018,220
2019-03-11 19:30:00,0.863993,3.09,230.8
2019-03-11 20:00:00,1.177178,3.795,236.8
2019-03-11 20:30:00,0.7453609,4.109,234
2019-03-11 21:00:00,0.7195923,4.075,241.2
2019-03-11 21:30:00,1.053159,5.055,227.9
2019-03-11 22:00:00,0.767311,7.084,239.7
2019-03-11 22:30:00,0.4641306,8.39,244.4
2019-03-11 23:00:00,0.399267,8.8,245.2
2019-03-11 23:30:00,0.2853888,9.17,244.9
2019-03-12 00:00:00,0.1996429,9.04,247.4
2019-03-12 00:30:00,0.1679951,9.56,245.3
2019-03-12 01:00:00,0.1809461,10.5,244
2019-03-12 01:30:00,0.1281949,10.3,247.5
2019-03-12 02:00:00,0.1395469,10.1,250.1
2019-03-12 02:30:00,0.2458485,9.96,244
2019-03-12 03:00:00,0.5092112,10.53,243.1
2019-03-12 03:30:00,0.2345169,10.85,245.2
2019-03-12 04:00:00,1.433929,10.37,249.2
2019-03-12 04:30:00,16.06368,11.01,249.2
2019-03-12 05:00:00,62.43835,10.79,254.1
2019-03-12 05:30:00,132.511,10.84,255.8
2019-03-12 06:00:00,179.0438,10.83,258.1
2019-03-12 06:30:00,269.0047,10.8,259.3
2019-03-12 07:00:00,328.2205,10.4,254.1
2019-03-12 07:30:00,384.8649,10.1,257.2
2019-03-12 08:00:00,437.35,9.67,255
2019-03-12 08:30:00,472.3904,10.18,257
2019-03-12 09:00:00,515.5751,10.78,257.6
2019-03-12 09:30:00,537.425,10.74,254.5
