TOA5,CR1000,CR1000,29101,CR1000.Std.32.03,CPU:Mzaar_MTO_2018_2019_modif2_200219.cr1,38694,Table_MTO_MZAAR,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BattV_Avg,TA_Avg,RH,SW_IN_Avg,SW_OUT_Avg,WS,WD,WD_std,PA_Avg,Raw_Ds_Avg,Q_Avg,T_Corr_Ds_Avg,Raw_Ds,Q,T_Corr_Ds,Geo_Hz_Avg,Geo_cm_Avg,WS_Max,CH200_M0_Avg(1),CH200_M0_Avg(2),CH200_M0_Avg(3),CH200_M0_Avg(4),CH200_M0_Avg(5)
TS,RN,Volts,C,%,,,m/s,Degrees,Deg,,,,,,,,,,m/s,,,,,
,,Avg,Avg,Smp,Avg,Avg,WVc,WVc,WVc,Avg,Avg,Avg,Avg,Smp,Smp,Smp,Avg,Avg,Max,Avg,Avg,Avg,Avg,Avg
2019-07-31 14:30:00,7697,13.48,21.02,21.43,424.4349,156.2994,6.555,303,16.31,772.2,-10,-10,-10,0.348,270,0.361,1884,19.98,11.32,13.56,0.027,0.031,15.93,0.057
2019-07-31 15:00:00,7698,13.47,20.79,22.86,307.5353,128.5606,6.175,298.5,16.21,772.2,-10,-10,-10,0.345,293,0.358,1884,19.98,9.95,13.55,0.027,0.031,16.52,0.053
2019-07-31 15:30:00,7699,13.41,20.61,23.11,199.8999,102.63,5.87,306.8,15.38,772.2,-10,-10,-10,0.345,277,0.358,1884,19.98,10.44,13.48,0.016,0.031,14.99,0.047
2019-07-31 16:00:00,7700,13.3,20.19,22.39,116.1203,75.562,6.165,313.7,9.78,772.3,-10,-10,-10,0.346,272,0.358,1885,19.98,9.9,13.39,0.004,0.031,14.23,0.037
2019-07-31 16:30:00,7701,13.13,19.67,22.35,44.04042,39.64229,6.556,312.5,11.67,772.4,-10,-10,-10,0.35,254,0.362,1885,19.98,10.88,13.23,-0.016,0.036,13.63,0.022
2019-07-31 17:00:00,7702,12.99,19.09,23.44,2.338065,5.691394,6.975,312.5,9.28,772.4,-10,-10,-10,0.348,249,0.36,1885,19.98,10.63,13.08,-0.029,0.031,10.4,0.002
2019-07-31 17:30:00,7703,12.91,18.71,24.37,0,1.70943,7.06,310.5,10.52,772.6,-10,-10,-10,0.348,248,0.36,1885,19.98,11.32,12.99,-0.03,0.031,1.192,0
2019-07-31 18:00:00,7704,12.88,18.61,24.06,0,1.610364,7.252,313.1,8.13,772.8,-10,-10,-10,0.346,266,0.358,1885,19.98,10.93,12.96,-0.03,0.031,0.161,0
2019-07-31 18:30:00,7705,12.86,18.48,25.63,0,1.553483,7.2,312.7,7.791,773,-10,-10,-10,0.347,256,0.358,1885,19.98,10.44,12.94,-0.03,0.031,0.061,0
2019-07-31 19:00:00,7706,12.85,18.29,28.23,0,1.503551,6.728,312,8.52,773,-10,-10,-10,0.349,257,0.36,1885,19.99,11.37,12.93,-0.03,0.031,0.049,0
2019-07-31 19:30:00,7707,12.83,18.31,28.93,0,1.655644,5.884,310.9,9.78,773.1,-10,-10,-10,0.345,272,0.356,1885,19.99,8.48,12.91,-0.03,0.031,0.046,0
2019-07-31 20:00:00,7708,12.82,18.25,28.81,0,1.72047,4.99,307.6,11.98,773.1,-10,-10,-10,0.346,267,0.357,1885,19.99,8.53,12.9,-0.03,0.031,0.044,0
2019-07-31 20:30:00,7709,12.81,18.25,31.02,0,1.730031,4.482,306.2,11.62,772.9,-10,-10,-10,0.35,252,0.361,1885,19.99,6.566,12.89,-0.03,0.031,0.043,0
2019-07-31 21:00:00,7710,12.81,18.07,33.18,0,1.788996,4.293,304.8,12.65,772.7,-10,-10,-10,0.349,258,0.36,1885,19.99,6.958,12.89,-0.03,0.031,0.043,0
2019-07-31 21:30:00,7711,12.8,17.86,31.32,0,1.792355,4.141,295.2,12.05,772.5,-10,-10,-10,0.35,254,0.361,1885,19.99,6.174,12.88,-0.03,0.031,0.043,0
2019-07-31 22:00:00,7712,12.79,18.1,33.86,0,1.7132,4.175,296.8,12.94,772.3,-10,-10,-10,0.35,252,0.361,1885,19.99,6.125,12.87,-0.03,0.031,0.043,0
2019-07-31 22:30:00,7713,12.78,18.06,34.13,0,1.588207,4.535,290,7.336,772.2,-10,-10,-10,0.349,257,0.36,1885,19.99,5.929,12.86,-0.03,0.031,0.043,0
2019-07-31 23:00:00,7714,12.77,17.37,36.41,0,1.463681,3.808,286.8,8.74,772.2,-10,-10,-10,0.35,254,0.361,1885,19.99,5.047,12.85,-0.03,0.031,0.042,0
2019-07-31 23:30:00,7715,12.76,17.08,36.67,0,1.576668,3.987,284.7,6.843,772,-10,-10,-10,0.35,256,0.361,1885,19.99,5.488,12.84,-0.031,0.031,0.043,0
2019-08-01 00:00:00,7716,12.76,17.21,36.99,0,1.643834,4.183,289.9,5.706,772,-10,-10,-10,0.35,256,0.361,1885,19.99,5.537,12.83,-0.031,0.031,0.043,0
2019-08-01 00:30:00,7717,12.71,17.11,37.3,0,1.601842,4.249,291.7,6.301,772,-10,-10,-10,0.35,256,0.361,1885,19.99,5.439,12.8,-0.044,0.045,0.042,0
2019-08-01 01:00:00,7718,12.72,16.88,38.26,0,1.575693,3.979,290.6,8.55,771.9,-10,-10,-10,0.346,291,0.357,1885,19.99,5.537,12.79,-0.04,0.041,0.042,0
2019-08-01 01:30:00,7719,12.7,16.61,39.04,0,1.363383,3.913,281.3,7.189,772,-10,-10,-10,0.343,315,0.353,1885,19.99,5.145,12.78,-0.04,0.041,0.042,0
2019-08-01 02:00:00,7720,12.69,16.89,36.2,0,1.543077,3.811,277.9,8.16,772,-10,-10,-10,0.347,283,0.358,1885,19.99,5.145,12.77,-0.04,0.041,0.042,0
2019-08-01 02:30:00,7721,12.68,16.97,36.41,0,1.594767,3.528,282.9,6.203,772.1,-10,-10,-10,0.347,281,0.358,1885,19.99,4.41,12.76,-0.04,0.041,0.413,0
2019-08-01 03:00:00,7722,12.67,16.6,39.48,2.803514,4.189572,3.493,278.5,7.485,772.2,-10,-10,-10,0.345,298,0.355,1885,19.99,4.9,12.76,-0.04,0.041,9.05,0
2019-08-01 03:30:00,7723,12.68,17.06,36.37,61.76703,31.76131,4.084,272.6,10.95,772.3,-10,-10,-10,0.35,254,0.361,1885,19.99,5.929,12.76,-0.031,0.041,12.98,0.011
2019-08-01 04:00:00,7724,12.71,17.89,36.47,167.5454,57.7171,3.988,291.9,9.13,772.3,-10,-10,-10,0.344,283,0.355,1885,19.99,5.831,12.79,-0.016,0.041,13.14,0.027
2019-08-01 04:30:00,7725,12.75,18.12,34.9,277.5608,74.55085,3.623,297.8,13.47,772.4,-10,-10,-10,0.349,261,0.361,1885,19.99,5.586,12.83,-0.006,0.041,13.34,0.038
2019-08-01 05:00:00,7726,12.8,18.67,30.67,392.2558,104.1596,3.804,292.6,10.95,772.4,-10,-10,-10,0.344,283,0.356,1885,19.99,5.586,12.88,0.005,0.038,13.3,0.046
2019-08-01 05:30:00,7727,12.88,19.53,27.18,504.7931,139.9149,4,303.3,14.58,772.4,-10,-10,-10,0.344,330,0.356,1885,19.99,7.154,12.96,0.017,0.031,13.45,0.052
2019-08-01 06:00:00,7728,12.95,19.86,28.08,613.5937,168.3314,5.047,305.6,15.34,772.4,-10,-10,-10,0.348,249,0.361,1885,19.99,9.55,13.04,0.02,0.031,13.54,0.055
