TOA5,CR1000,CR1000,29101,CR1000.Std.32.03,CPU:Mzaar_MTO_2018_2019_modif2_200219.cr1,38694,Table_MTO_MZAAR,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BattV_Avg,TA_Avg,RH,SW_IN_Avg,SW_OUT_Avg,WS,WD,WD_std,PA_Avg,Raw_Ds_Avg,Q_Avg,T_Corr_Ds_Avg,Raw_Ds,Q,T_Corr_Ds,Geo_Hz_Avg,Geo_cm_Avg,WS_Max,CH200_M0_Avg(1),CH200_M0_Avg(2),CH200_M0_Avg(3),CH200_M0_Avg(4),CH200_M0_Avg(5)
TS,RN,Volts,C,%,,,m/s,Degrees,Deg,,,,,,,,,,m/s,,,,,
,,Avg,Avg,Smp,Avg,Avg,WVc,WVc,WVc,Avg,Avg,Avg,Avg,Smp,Smp,Smp,Avg,Avg,Max,Avg,Avg,Avg,Avg,Avg
2019-10-11 14:30:00,11153,13.64,18.63,15.63,107.4133,87.37309,3.226,269.5,11.07,775.9,1.862,180.7,1.924,1.863,168,1.924,1884,19.95,5.292,13.72,0.034,0.04,19.52,0.059
2019-10-11 15:00:00,11154,13.61,17.62,29.43,31.17562,47.06871,3.014,277.1,9.23,775.9,1.866,174.7,1.925,1.868,169,1.925,1884,19.95,4.998,13.69,0.027,0.04,17.38,0.064
2019-10-11 15:30:00,11155,13.37,16.86,22.09,1.920689,9.015548,3.312,258.1,7.89,775.8,1.869,171.6,1.926,1.869,176,1.924,1884,19.96,5.047,13.47,-0.029,0.04,10.67,0.012
2019-10-11 16:00:00,11156,13.04,16.17,23.53,0,2.342359,3.072,252.7,16.24,775.8,1.872,173.8,1.926,1.875,185,1.928,1884,19.96,5.096,13.13,-0.04,0.041,1.093,0
2019-10-11 16:30:00,11157,12.87,14.54,20.48,0,2.641872,0.673,207.5,34.57,776,1.876,176.9,1.926,1.873,181,1.922,1884,19.96,1.862,12.96,-0.045,0.046,0.164,0
2019-10-11 17:00:00,11158,12.84,14.37,24.9,0,3.690211,0.782,152.7,5.324,776,1.876,177.4,1.925,1.877,172,1.926,1884,19.97,2.891,12.92,-0.04,0.041,0.068,0
2019-10-11 17:30:00,11159,12.81,14.31,42.85,0,4.343629,0.063,119.7,8.58,776,1.876,180,1.924,1.874,186,1.923,1884,19.97,0.882,12.9,-0.04,0.041,0.054,0
2019-10-11 18:00:00,11160,12.8,13.96,57.23,0,3.40454,1,138,14.36,776.1,1.879,178.9,1.926,1.879,186,1.926,1884,19.97,2.254,12.88,-0.04,0.041,0.052,0
2019-10-11 18:30:00,11161,12.79,13.73,52.19,0,2.917961,0.626,168.5,13.87,776.1,1.879,179.6,1.926,1.879,177,1.925,1884,19.97,2.058,12.87,-0.04,0.041,0.053,0
2019-10-11 19:00:00,11162,12.78,13.67,16.44,0,3.322241,1.418,177,22.66,776.1,1.88,179.9,1.927,1.881,173,1.928,1884,19.97,3.136,12.86,-0.04,0.041,0.053,0
2019-10-11 19:30:00,11163,12.77,13.77,31.88,0,3.113421,0.099,202.6,3.655,776.2,1.878,179,1.925,1.879,185,1.926,1884,19.97,1.96,12.85,-0.04,0.041,0.053,0
2019-10-11 20:00:00,11164,12.77,13.57,20.78,0,3.254612,1.476,192.2,25.7,776.1,1.881,178.4,1.927,1.88,180,1.925,1884,19.97,3.43,12.84,-0.04,0.041,0.053,0
2019-10-11 20:30:00,11165,12.76,14.1,19.94,0,2.768697,0.849,211.8,17.63,776,1.879,178.5,1.927,1.878,186,1.927,1884,19.97,2.548,12.84,-0.04,0.041,0.054,0
2019-10-11 21:00:00,11166,12.75,14.53,12.98,0,2.574088,0.557,242.4,6.822,775.9,1.879,179.5,1.928,1.883,178,1.933,1884,19.97,1.617,12.83,-0.04,0.041,0.054,0
2019-10-11 21:30:00,11167,12.74,13.99,19.7,0,1.965794,0.406,246.9,8.81,775.9,1.879,178.9,1.927,1.876,177,1.923,1884,19.97,1.813,12.82,-0.04,0.041,0.054,0
2019-10-11 22:00:00,11168,12.74,13.45,12.71,0,2.800211,0.849,196.4,15.38,775.9,1.881,177.8,1.927,1.884,180,1.929,1884,19.97,2.94,12.81,-0.04,0.041,0.054,0
2019-10-11 22:30:00,11169,12.73,12.86,13,0,1.847229,3.14,205.7,6.535,775.8,1.884,181.7,1.927,1.885,177,1.929,1884,19.97,4.165,12.81,-0.04,0.041,0.053,0
2019-10-11 23:00:00,11170,12.72,13.36,12.4,0,2.009374,2.823,194.5,14.16,775.8,1.882,178.4,1.928,1.881,185,1.928,1884,19.97,4.263,12.8,-0.04,0.041,0.053,0
2019-10-11 23:30:00,11171,12.71,13.49,14.05,0,1.788481,2.138,163.2,20.01,775.7,1.881,179.4,1.927,1.878,177,1.925,1884,19.97,4.214,12.79,-0.04,0.041,0.052,0
2019-10-12 00:00:00,11172,12.7,13.34,15.2,0,1.942916,1.941,174.1,26.4,775.6,1.881,178.9,1.926,1.875,174,1.921,1884,19.97,3.528,12.78,-0.04,0.041,0.052,0
2019-10-12 00:30:00,11173,12.68,13.23,16.6,0,1.889095,1.764,181.7,21.06,775.5,1.882,178.9,1.927,1.88,181,1.925,1884,19.97,3.381,12.76,-0.045,0.046,0.051,0
2019-10-12 01:00:00,11174,12.68,13.25,22.94,0,2.326432,1.822,150.6,20.65,775.6,1.881,179.6,1.926,1.88,178,1.924,1884,19.97,3.381,12.76,-0.041,0.042,0.049,0
2019-10-12 01:30:00,11175,12.67,12.9,23.91,0,1.64027,2.559,165.1,16.8,775.6,1.883,179.9,1.927,1.883,186,1.926,1884,19.97,3.724,12.75,-0.04,0.041,0.046,0
2019-10-12 02:00:00,11176,12.66,12.66,26.87,0,1.741912,2.348,159.2,12.66,775.6,1.883,178.3,1.926,1.882,177,1.924,1884,19.97,3.626,12.74,-0.04,0.041,0.043,0
2019-10-12 02:30:00,11177,12.65,12.51,26.42,0,1.682044,2.612,182.3,15.81,775.6,1.885,177.1,1.927,1.889,177,1.931,1884,19.97,3.969,12.73,-0.041,0.042,0.042,0
2019-10-12 03:00:00,11178,12.63,11.86,22.05,0,1.854511,3.86,194,14.9,775.5,1.886,177.2,1.926,1.883,178,1.93,1884,19.97,5.341,12.72,-0.041,0.042,0.042,0
2019-10-12 03:30:00,11179,12.62,12.23,26.85,0,1.017965,3.768,197.9,12.33,775.5,1.886,177.6,1.928,1.89,186,1.927,1884,19.97,5.292,12.71,-0.041,0.042,1.468,0
2019-10-12 04:00:00,11180,12.61,11.33,24.23,7.059053,4.718608,3.552,203.6,9.01,775.7,1.887,178.1,1.926,1.885,180,1.924,1884,19.97,5.782,12.71,-0.04,0.042,12.08,0
2019-10-12 04:30:00,11181,12.63,12.93,24.4,99.87357,33.21008,5.554,184.8,7.947,775.8,1.883,177.4,1.927,1.881,172,1.927,1884,19.97,7.448,12.72,-0.026,0.042,12.94,0.017
2019-10-12 05:00:00,11182,12.76,13.09,32.06,226.5535,69.18523,4.944,175.6,10.74,776,1.882,174.2,1.927,1.881,169,1.926,1884,19.97,7.84,12.83,0.021,0.041,13.54,0.066
2019-10-12 05:30:00,11183,13.17,13.59,32.9,346.5051,96.25509,4.179,173.2,13.48,776.2,1.88,172.3,1.926,1.879,176,1.926,1884,19.96,6.86,13.25,0.101,0.041,15.34,0.138
2019-10-12 06:00:00,11184,13.64,14.41,31.99,462.2366,121.3637,3.295,188.4,11,776.4,1.877,172.3,1.926,1.875,177,1.925,1884,19.96,5.537,13.72,0.146,0.04,17.13,0.172
